City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
298,Iranshahr,IR,88.38,few clouds,27.2025,60.6848,نیک سرشت
303,Rehti,IN,76.33,overcast clouds,22.7333,77.4333,Hotel Dhakad
314,Benghazi,LY,76.48,clear sky,32.1167,20.0667,Tibesti Hotel
316,Carmo Do Rio Claro,BR,85.01,broken clouds,-20.9719,-46.1189,Varandas da Montanha Hotel
320,Juegang,CN,76.98,scattered clouds,32.3174,121.1855,Rudong Y Hotel
321,Cassia,BR,81.23,broken clouds,-20.5831,-46.9219,Hotel Ancora e Restaurante de Cassia MG
324,Kathu,TH,75.02,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
326,Kibala,TD,76.35,light rain,9.1104,18.3463,hotel safari
330,Faanui,PF,79.3,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
331,Sao Gabriel Da Cachoeira,BR,88.43,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
332,Mogadishu,SO,78.19,clear sky,2.0371,45.3438,Hotel Juba
335,Porto Santo,PT,75.31,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
337,Belmonte,BR,79.3,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
341,Ismailia,EG,75.04,scattered clouds,30.6043,32.2723,Mercure Ismailia Forsan Island Hotel
346,Buchanan,LR,82.36,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
347,Dingle,PH,76.08,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
351,Cedar City,US,75.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
354,Tambun,ID,83.48,broken clouds,-6.2641,107.0712,Metland Hotel Bekasi
356,Touros,BR,85.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
358,Atlantic City,US,75.18,clear sky,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
359,Turayf,SA,79.02,clear sky,31.6725,38.6637,Turaif
363,Garowe,SO,86.59,light rain,8.4054,48.4845,Curubo Hotel
364,Arrecife,ES,78.78,few clouds,28.963,-13.5477,Hotel Lancelot
365,Puerto Del Rosario,ES,78.48,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
367,Trincomalee,LK,80.85,moderate rain,8.5711,81.2335,Welcombe Hotel
369,Leticia,CO,84.18,broken clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
371,Jalu,LY,79.11,clear sky,29.0331,21.5482,صاحبة الفخامة
375,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
383,Santa Catalina,PH,78.67,broken clouds,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
387,Russellville,US,85.73,clear sky,35.2784,-93.1338,Hampton Inn Russellville
389,Ewa Beach,US,82.35,clear sky,21.3156,-158.0072,Uncle Junior Robert
