City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,Halifax,44.6453,-63.5724,64.45,94,3,1.14,CA,2021-09-24 01:52:14
152,Beruwala,6.4788,79.9828,80.87,84,100,11.01,LK,2021-09-24 01:54:17
153,Cancun,21.1743,-86.8466,78.71,85,97,5.66,MX,2021-09-24 01:51:00
154,Ostrovnoy,68.0531,39.5131,42.93,85,10,13.38,RU,2021-09-24 01:54:03
155,Beyneu,45.3167,55.2,62.33,37,12,27.54,KZ,2021-09-24 01:54:17
156,Richards Bay,-28.783,32.0377,63.81,78,11,16.69,ZA,2021-09-24 01:54:18
157,Guerrero Negro,27.9769,-114.0611,75.45,75,51,15.21,MX,2021-09-24 01:54:18
158,Lata,40.1629,-8.3327,64.04,90,100,4.81,PT,2021-09-24 01:54:19
159,Beloha,-25.1667,45.05,64.92,95,20,8.52,MG,2021-09-24 01:54:19
160,Abapo,-18.8333,-63.4667,62.42,66,100,4.29,BO,2021-09-24 01:54:19
161,Mvuma,-19.2792,30.5283,50.81,64,0,5.28,ZW,2021-09-24 01:54:21
162,Hermanus,-34.4187,19.2345,56.89,89,11,8.41,ZA,2021-09-24 01:54:21
163,Eatonton,33.3268,-83.3885,61.79,90,0,5.3,US,2021-09-24 01:54:22
164,Bilma,18.6853,12.9164,84.2,16,5,6.55,NE,2021-09-24 01:54:22
165,Geraldton,-28.7667,114.6,70.21,49,0,13.8,AU,2021-09-24 01:54:22
166,Pergamino,-33.89,-60.5736,55.18,91,0,5.7,AR,2021-09-24 01:54:23
167,Victoria,22.2855,114.1577,87.96,80,34,1.99,HK,2021-09-24 01:50:09
168,Bathsheba,13.2167,-59.5167,83.01,78,40,9.22,BB,2021-09-24 01:54:23
169,Hamilton,39.1834,-84.5333,57.97,79,1,0.0,US,2021-09-24 01:51:46
170,Elizabeth City,36.2946,-76.2511,70.02,97,100,2.98,US,2021-09-24 01:54:23
171,Santa Fe,-31.6333,-60.7,60.75,90,0,5.57,AR,2021-09-24 01:54:24
172,San Giustino,43.5495,12.1736,57.83,74,16,1.83,IT,2021-09-24 01:54:24
173,Moussoro,13.6408,16.4901,81.57,61,47,7.94,TD,2021-09-24 01:54:24
174,Clyde River,70.4692,-68.5914,27.79,72,33,8.1,CA,2021-09-24 01:54:25
175,Road Town,18.4167,-64.6167,84.29,73,54,8.99,VG,2021-09-24 01:51:05
176,Porto-Vecchio,41.591,9.2795,65.86,63,0,4.61,FR,2021-09-24 01:54:25
177,Xifeng,42.7372,124.7222,64.4,67,100,3.02,CN,2021-09-24 01:54:26
178,Meulaboh,4.1363,96.1285,82.27,74,33,3.04,ID,2021-09-24 01:54:26
179,Ulaangom,49.9811,92.0667,47.19,37,10,3.44,MN,2021-09-24 01:54:26
180,Zwedru,6.0667,-8.1281,71.69,99,100,2.64,LR,2021-09-24 01:54:27
181,Tocopilla,-22.092,-70.1979,61.34,76,23,1.36,CL,2021-09-24 01:54:27
182,Itacoatiara,-3.1431,-58.4442,79.39,70,100,2.64,BR,2021-09-24 01:54:28
183,Rio Gallegos,-51.6226,-69.2181,50.05,57,75,18.41,AR,2021-09-24 01:54:28
184,Port Lincoln,-34.7333,135.8667,57.9,55,91,17.36,AU,2021-09-24 01:54:28
185,Hobyo,5.3505,48.5268,77.32,85,12,18.07,SO,2021-09-24 01:54:29
186,Maniwaki,46.3834,-75.966,68.38,88,100,11.5,CA,2021-09-24 01:52:32
187,Prainha,-1.8,-53.48,81.27,61,99,4.92,BR,2021-09-24 01:54:29
188,Mar Del Plata,-38.0023,-57.5575,50.02,93,0,4.61,AR,2021-09-24 01:54:30
189,Vostok,46.4856,135.8833,54.43,52,0,6.29,RU,2021-09-24 01:54:30
190,Aberystwyth,52.4155,-4.0829,56.3,90,1,6.62,GB,2021-09-24 01:54:30
191,Port Hardy,50.6996,-127.4199,55.58,71,75,2.3,CA,2021-09-24 01:54:31
192,Ambon,-3.6954,128.1814,77.14,94,75,5.75,ID,2021-09-24 01:54:31
193,Mariental,-24.6333,17.9667,64.78,14,46,8.9,NA,2021-09-24 01:54:31
194,Dongsheng,39.8161,109.9776,61.07,73,100,5.64,CN,2021-09-24 01:54:32
195,Hope,33.6671,-93.5916,65.95,48,4,4.32,US,2021-09-24 01:54:32
196,Sitka,57.0531,-135.33,51.75,93,100,6.42,US,2021-09-24 01:54:32
197,Klaksvik,62.2266,-6.589,52.72,89,100,28.03,FO,2021-09-24 01:54:33
198,Tibati,6.4667,12.6333,65.19,90,98,2.51,CM,2021-09-24 01:54:33
199,Harper,4.375,-7.7169,76.77,89,50,6.24,LR,2021-09-24 01:54:33
200,Vao,-22.6667,167.4833,68.32,61,68,15.37,NC,2021-09-24 01:54:34
201,Lenoir,35.2335,-77.6497,68.11,94,1,0.0,US,2021-09-24 01:54:34
202,Manokwari,-0.8667,134.0833,83.34,70,100,8.21,ID,2021-09-24 01:54:34
203,Gogrial,8.5332,28.1004,70.45,93,78,4.21,SS,2021-09-24 01:54:35
204,Abonnema,4.7084,6.7931,74.21,93,93,2.55,NG,2021-09-24 01:54:35
205,Kitimat,54.0524,-128.6534,50.38,36,100,2.21,CA,2021-09-24 01:54:35
206,Oranjestad,12.524,-70.027,84.15,79,20,18.41,AW,2021-09-24 01:54:35
207,Nishihara,26.1842,127.7558,85.28,70,40,13.8,JP,2021-09-24 01:54:36
208,Gavle,60.6745,17.1417,45.95,90,100,17.22,SE,2021-09-24 01:54:36
209,Ilulissat,69.2167,-51.1,11.93,86,90,6.24,GL,2021-09-24 01:54:36
210,Sikeston,36.8767,-89.5879,61.92,82,1,0.0,US,2021-09-24 01:54:37
211,Uinskoye,56.8817,56.5813,40.44,81,100,4.63,RU,2021-09-24 01:54:37
212,Grottammare,42.9888,13.8649,58.82,57,23,4.16,IT,2021-09-24 01:54:37
213,Bani Walid,31.7566,13.9942,71.28,91,44,5.64,LY,2021-09-24 01:54:38
214,Asifabad,19.3667,79.2833,77.63,90,100,2.19,IN,2021-09-24 01:54:38
215,Lebu,-37.6167,-73.65,50.34,86,0,11.7,CL,2021-09-24 01:52:11
216,Solnechnogorsk,56.1833,36.9833,46.24,97,84,6.71,RU,2021-09-24 01:54:39
217,Yaan,7.3833,8.5667,72.5,97,100,2.62,NG,2021-09-24 01:54:39
218,Thinadhoo,0.5333,72.9333,81.95,77,100,15.52,MV,2021-09-24 01:54:39
219,Watertown,42.3709,-71.1828,73.53,87,40,1.99,US,2021-09-24 01:51:41
220,Pesochenskiy,54.1733,36.1094,41.29,88,90,8.57,RU,2021-09-24 01:54:40
221,Petropavlovsk-Kamchatskiy,53.0452,158.6483,55.99,58,75,11.18,RU,2021-09-24 01:54:40
222,Uruzgan,32.8333,66.0,63.48,15,0,5.14,AF,2021-09-24 01:54:40
223,Saskylakh,71.9167,114.0833,33.62,97,100,9.93,RU,2021-09-24 01:54:41
224,El Alto,-4.2714,-81.2147,63.37,86,70,12.3,PE,2021-09-24 01:54:41
225,Asyut,27.181,31.1837,77.18,48,0,7.96,EG,2021-09-24 01:50:30
226,Hirara,24.8,125.2833,85.86,83,40,11.5,JP,2021-09-24 01:54:41
227,Alofi,-19.0595,-169.9187,80.49,61,40,10.36,NU,2021-09-24 01:54:42
228,Taldan,53.6667,124.8,50.88,86,84,3.06,RU,2021-09-24 01:54:42
229,Morondava,-20.2833,44.2833,72.52,83,0,2.46,MG,2021-09-24 01:54:42
230,Broken Hill,-31.95,141.4333,74.91,19,0,19.57,AU,2021-09-24 01:54:43
231,Narsaq,60.9167,-46.05,32.81,63,0,3.85,GL,2021-09-24 01:54:43
232,Great Falls,47.5002,-111.3008,68.45,28,40,6.91,US,2021-09-24 01:54:44
233,Alekseyevskoye,55.3071,50.1135,48.88,83,100,17.13,RU,2021-09-24 01:54:44
234,Xuddur,4.1213,43.8894,70.77,80,69,14.2,SO,2021-09-24 01:54:44
235,Codrington,-38.2667,141.9667,55.76,60,54,24.83,AU,2021-09-24 01:54:09
