City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
90,Svetlyy,54.675,20.1347,57.25,64,100,6.67,RU,2021-09-26 16:21:21
91,Buraydah,26.326,43.975,90.05,21,0,10.78,SA,2021-09-26 16:21:22
92,Half Moon Bay,37.4636,-122.4286,63.05,80,90,4.61,US,2021-09-26 16:21:22
93,Jamestown,42.097,-79.2353,66.18,34,1,16.11,US,2021-09-26 16:21:22
94,Riedlingen,48.1545,9.4756,69.01,99,100,4.52,DE,2021-09-26 16:21:23
95,Todos Santos,23.45,-110.2167,89.01,75,12,2.71,MX,2021-09-26 16:21:23
96,Tasiilaq,65.6145,-37.6368,39.36,72,50,2.55,GL,2021-09-26 16:21:23
97,Qasigiannguit,68.8193,-51.1922,21.45,57,0,0.13,GL,2021-09-26 16:21:23
98,Puerto Ayora,-0.7393,-90.3518,75.16,83,87,8.97,EC,2021-09-26 16:21:24
99,Quelimane,-17.8786,36.8883,76.95,83,20,9.22,MZ,2021-09-26 16:21:25
100,Kibakwe,-6.7167,36.3667,73.63,38,67,9.42,TZ,2021-09-26 16:21:25
101,Mount Vernon,40.9126,-73.8371,72.48,52,20,3.0,US,2021-09-26 16:16:28
102,Koping,59.514,15.9926,60.03,65,97,3.94,SE,2021-09-26 16:21:25
103,East London,-33.0153,27.9116,67.14,82,75,8.05,ZA,2021-09-26 16:20:18
104,Bulgan,48.8125,103.5347,35.73,52,67,2.89,MN,2021-09-26 16:21:26
105,Lagoa,39.05,-27.9833,67.21,77,84,25.59,PT,2021-09-26 16:21:26
106,De Aar,-30.6497,24.0123,83.5,8,9,9.66,ZA,2021-09-26 16:21:26
107,Vaini,-21.2,-175.2,68.16,88,75,5.75,TO,2021-09-26 16:21:27
108,Itarema,-2.9248,-39.9167,88.81,54,93,21.63,BR,2021-09-26 16:21:00
109,Guaymas,27.9333,-110.9,82.89,51,17,2.91,MX,2021-09-26 16:21:27
