,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
155,Agadir,MA,81.05,clear sky,30.4202,-9.5982,
156,Galesong,ID,77.02,broken clouds,-5.3166,119.3661,
157,Nadvoitsy,RU,46.35,overcast clouds,63.8667,34.3167,
158,Holetown,BB,86.56,scattered clouds,13.1867,-59.6381,
159,Dubbo,AU,50.13,clear sky,-32.25,148.6167,
160,Dongsheng,CN,57.56,few clouds,39.8161,109.9776,
161,Tomatlan,MX,89.02,overcast clouds,19.9333,-105.25,
162,Saint George,US,86.54,overcast clouds,37.1041,-113.5841,
163,Marsh Harbour,BS,81.34,overcast clouds,26.5412,-77.0636,
164,Nadadores,MX,78.89,overcast clouds,27.05,-101.6,
165,Cinisi,IT,78.73,broken clouds,38.1562,13.1073,
166,Kavieng,PG,81.0,moderate rain,-2.5744,150.7967,
167,Mahon,ES,77.56,broken clouds,39.8885,4.2658,
168,Amapa,BR,96.76,broken clouds,1.0,-52.0,
169,Berezovyy,RU,49.19,overcast clouds,51.6667,135.7,
170,Howard Springs,AU,78.71,broken clouds,-12.497,131.047,
171,Cayenne,GF,89.64,broken clouds,4.9333,-52.3333,
172,Vestmannaeyjar,IS,43.21,overcast clouds,63.4427,-20.2734,
173,Port Hardy,CA,55.58,light intensity shower rain,50.6996,-127.4199,
174,La Puebla De Cazalla,ES,81.48,broken clouds,37.2216,-5.3115,
175,Chimbote,PE,68.94,broken clouds,-9.0853,-78.5783,
176,Glasgow,GB,64.31,broken clouds,55.8652,-4.2576,
177,Mabaruma,GY,91.63,few clouds,8.2,-59.7833,
178,Mandurah,AU,55.17,scattered clouds,-32.55,115.7,
179,Guadalupe Y Calvo,MX,68.27,clear sky,26.1,-106.9667,
180,Marawi,PH,65.64,overcast clouds,7.9986,124.2928,
181,Sao Francisco De Assis,BR,77.5,clear sky,-29.5503,-55.1311,
182,Caen,FR,66.42,clear sky,49.0833,-0.4167,
183,Comodoro Rivadavia,AR,51.66,clear sky,-45.8667,-67.5,
184,Mount Isa,AU,73.17,clear sky,-20.7333,139.5,
185,Tawau,MY,77.76,scattered clouds,4.2498,117.8871,
186,Sonta,RS,71.29,clear sky,45.5947,19.0981,
187,Strezhevoy,RU,33.78,broken clouds,60.7333,77.5889,
188,Neuquen,AR,59.74,broken clouds,-38.9516,-68.0591,
189,Lebu,CL,52.56,scattered clouds,-37.6167,-73.65,
190,Seoul,KR,69.24,overcast clouds,37.5683,126.9778,
191,Atyashevo,RU,48.49,overcast clouds,54.5644,46.0691,
192,Richards Bay,ZA,67.03,scattered clouds,-28.783,32.0377,
193,Shakawe,BW,76.44,clear sky,-18.3667,21.85,
194,Raudeberg,NO,61.47,overcast clouds,61.9875,5.1352,
195,Oktyabrskiy,RU,52.79,overcast clouds,54.4815,53.471,
196,Yerbogachen,RU,32.74,light snow,61.2767,108.0108,
197,Miri,MY,78.37,overcast clouds,4.4148,114.0089,
198,Bonthe,SL,78.26,light rain,7.5264,-12.505,
199,Gainesville,US,86.79,scattered clouds,29.6516,-82.3248,
200,Saint Augustine,US,88.03,clear sky,29.8947,-81.3145,
201,Sitka,US,49.57,overcast clouds,57.0531,-135.33,
202,Pryazha,RU,46.36,overcast clouds,61.6926,33.6216,
203,Tecpan,GT,68.45,overcast clouds,14.7623,-90.9947,
204,Sorland,NO,53.67,overcast clouds,67.667,12.6934,
205,Upernavik,GL,25.72,clear sky,72.7868,-56.1549,
206,Bonnyville,CA,65.46,overcast clouds,54.2668,-110.735,
207,Alofi,NU,58.89,scattered clouds,-19.0595,-169.9187,
208,Sharjah,AE,91.69,clear sky,25.3573,55.4033,
209,Morant Bay,JM,92.62,clear sky,17.8815,-76.4093,
210,West Point,US,82.18,scattered clouds,33.6076,-88.6503,
211,Jolalpan,MX,85.01,overcast clouds,18.325,-98.8417,
212,Khandagayty,RU,27.55,scattered clouds,50.7333,92.05,
